dataset_id,path,sha256,bytes,chars,lines,words,o200k_base_tokens,chars_per_o200k_token,chars_div_4_estimate,chars_div_3_estimate,runtime_visibility,duplicate_group_size
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-ab.mjs,73e45fd8d626537f8a861118660af7a7bf60843a73f809ffe36c4a0cae8f7575,8079,8079,171,1207,2241,3.6051,2020,2693,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-calibrate.mjs,1be46d1262b0aff3b1c6de9e3c2dcb790695ec27d0806f5a7271345752bbcaa3,6407,6405,143,913,1924,3.329,1602,2135,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-config.json,7cffb7d91990f43c151743e960badfb3b58ea5adc5e064af4874db3e9d1237a5,7646,7626,160,1098,2235,3.4121,1907,2542,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-ledger.mjs,a419e8ccc87ca9861eb1e7169e41c345f9c9c856448b88addbd17c52215d1690,10199,10196,233,1477,2718,3.7513,2549,3399,research_or_reference_not_runtime,2
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-retrieve-filter.mjs,790f40592012ad087db872a62c36efc7d34f435588348115442b22465342a541,7486,7486,189,1089,2031,3.6859,1872,2496,research_or_reference_not_runtime,2
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ladder-retrieve-gate.mjs,52dda1524264ad6762437182e894104cf1fb66baac13e2281fd90d1f370e5425,10204,10204,238,1468,2670,3.8217,2551,3402,research_or_reference_not_runtime,2
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/test-ladder.mjs,c9c8f9b313e1a2753f515cc54d8edcc48bc05e5d56f45053a717738adcd74a71,14062,14045,278,1857,4202,3.3425,3512,4682,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/ANSWERS-v5.md,4c3bb87a5800f8fb65377ba69b3eb69d60dcc42607a0c57438506a5df60d757f,2094,2050,34,312,647,3.1685,513,684,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/BEFUNDE-vorserie.md,b7fe783319eb4af6e078f3f6b86513c732d9865d46868c7e0bd8cfaa04213fe9,3736,3682,65,522,1068,3.4476,921,1228,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/PLAN-v5.md,cb88c3c599835f4669df2a971bb16b350d81edef1678cc1e858f53a091351ade,17715,17394,318,2717,5404,3.2187,4349,5798,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/RESULTS-v5.md,ef2cbbc31e1382c88f15dbbcc0211df9538c5eeffbd9bb1f2c7f14e1e41bac69,7980,7803,152,1296,2482,3.1438,1951,2601,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/corpus-v5.sh,bffbad737d4d709a88b3e78956b7d9d811b6644bc7a1208404bf360292b882b9,1849,1840,48,282,632,2.9114,460,614,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/corpus-v5.sha,7e3b8901de8f998eeab71f8c62ed715ad917740119f34fa582207a8678efec65,65,65,1,1,41,1.5854,17,22,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/dispatch-v5.sh,6c0a004a33805cb2f51cd2a54c2f6f5ea924f23d8d9f2c6a83f81ef4110e9d9d,4430,4401,88,661,1374,3.2031,1101,1467,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/eval-v5.py,2d3da3231dd04804c6b96daffd393876d24e2018ec2185b36a7533214a151d90,5571,5549,143,656,1729,3.2094,1388,1850,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/gen-tasks-v5.py,7760ea946cf7477c5aaedd4b4b6bf9fd7af9332da85c49f6e85010d61f5d4c75,9274,9172,197,1254,2635,3.4808,2293,3058,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/ladder-tokens-v5.py,260e15b6226328fd363b6421b0a222e603e1699d26a76576b33a1815cfdf9782,6276,6264,156,706,1919,3.2642,1566,2088,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/precompute-v5.json,73a18d7cbae4f9403db401d609076380d257c8fb04a69387f0b97c61cc040bc9,2549,2549,110,239,1096,2.3257,638,850,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/v5-auswertung/precompute-v5.py,74ba1edd747fc1e6c3317e6b8c05723003b34fc5e77f58b3eddce704c0741ee9,4047,4038,102,497,1435,2.8139,1010,1346,research_or_reference_not_runtime,1
CURRENT_CLAUDE_FILES,hooks/bash-dump-guard.mjs,b33dedecb97c911a757ce6ced4e4ed297f9ff085d240c44a2aabf87f39534746,10425,10364,234,1554,2836,3.6544,2591,3455,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/bash-size-feedback.mjs,c89e7bf0d71141ca070091f1db2ae9587ea7e6cc9b6d90bc7a61ea8799e382bd,3380,3374,72,442,885,3.8124,844,1125,hook_code_with_conditional_context_injection,1
CURRENT_CLAUDE_FILES,hooks/context-mode-cache-heal.mjs,ec2b0232c9d68e31f33fd70fc37bc59cb8e8f75796940b48c84564096f7f0e53,2692,2686,49,174,703,3.8208,672,896,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/ctx-used-marker.mjs,2f9fc63eca61ed41895070ccf31754d43b74aa3f5284a66a80258c4383809edf,1030,1028,26,130,273,3.7656,257,343,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/instructions-loaded.mjs,3825ec768de3f935e559e4adad37260653e5a3a4ebc2eb82709248dd60404bee,4017,3992,95,518,1133,3.5234,998,1331,hook_code_with_conditional_context_injection,1
CURRENT_CLAUDE_FILES,hooks/ladder-config.json,1a470535e833ba76f0cc6c5b3bcc9d58fa18d7a25913ebb15429e239d5e81793,7647,7627,160,1098,2235,3.4125,1907,2543,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/ladder-ledger.mjs,a419e8ccc87ca9861eb1e7169e41c345f9c9c856448b88addbd17c52215d1690,10199,10196,233,1477,2718,3.7513,2549,3399,hook_code_with_conditional_context_injection,2
CURRENT_CLAUDE_FILES,hooks/ladder-retrieve-filter.mjs,790f40592012ad087db872a62c36efc7d34f435588348115442b22465342a541,7486,7486,189,1089,2031,3.6859,1872,2496,hook_code_not_verbatim_prompt,2
CURRENT_CLAUDE_FILES,hooks/ladder-retrieve-gate.mjs,52dda1524264ad6762437182e894104cf1fb66baac13e2281fd90d1f370e5425,10204,10204,238,1468,2670,3.8217,2551,3402,hook_code_not_verbatim_prompt,2
CURRENT_CLAUDE_FILES,hooks/nudge_builtins.py.orig,0516e9792cd3fced36cb21ac6c173017a538af96fd83ac88ca9adb3dd0de56e7,6173,6173,160,761,1453,4.2485,1544,2058,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/reapply-prompt-improver-optin.py,a0a0eb59dc20ffb69b1a88f7d78d489ea6f8d4f448095933dfd2af711e0c57e7,4767,4763,131,560,1149,4.1453,1191,1588,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/test-guard-all.mjs,89f44308c454b40c1055ba8ae8755cc79d55198d28a5c210bab06ea88ce4a95e,9403,9336,177,1187,2911,3.2071,2334,3112,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,hooks/test-ladder.mjs,5142f0084df875993ae7773dc0d1c6efce7999ae6fa3f68c2652e86838227c7d,10818,10808,218,1448,3175,3.4041,2702,3603,hook_code_not_verbatim_prompt,1
CURRENT_CLAUDE_FILES,settings.json,e492cab63fe9ed5be0f7c866bfb6a4e9eff460857258bfeed38030a6062ca8e7,10707,10707,431,711,2984,3.5881,2677,3569,configuration_not_verbatim_prompt,1
